run_id,date,stage,description,data_scope,n_s1_queries,key_params,recall_at_candidates,val_precision,val_recall,val_f0.5,notes
blk_v2_5000_20260926_171216:keys_all,2026-09-26,blocking,keys_all,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; name_exact+name_core+addr_exact+addr_set,0.613763,,,,oracle_f05=0.806216; cands_mean=16.6; RR=0.999998; sec=; peak_gb=
blk_v2_5000_20260926_171216:tfidf_nabp+keys_all,2026-09-26,blocking,tfidf_nabp+keys_all,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; tfidf_nabp+name_exact+name_core+addr_exact+addr_set,0.981117,,,,oracle_f05=0.993539; cands_mean=210.2; RR=0.99998; sec=; peak_gb=
blk_v2_5000_20260926_172953:name_exact,2026-09-26,blocking,name_exact,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; max_group=50,0.290836,,,,oracle_f05=0.522211; cands_mean=8.0; RR=0.999999; sec=0.22; peak_gb=1.57
blk_v2_5000_20260926_172953:name_core,2026-09-26,blocking,name_core,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; max_group=50,0.485229,,,,oracle_f05=0.687541; cands_mean=12.3; RR=0.999999; sec=0.24; peak_gb=1.57
blk_v2_5000_20260926_172953:addr_exact,2026-09-26,blocking,addr_exact,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; max_group=50,0.128707,,,,oracle_f05=0.277488; cands_mean=0.5; RR=1.0; sec=0.23; peak_gb=1.57
blk_v2_5000_20260926_172953:addr_set,2026-09-26,blocking,addr_set,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; max_group=50,0.189759,,,,oracle_f05=0.369089; cands_mean=0.8; RR=1.0; sec=0.21; peak_gb=1.57
blk_v2_5000_20260926_172953:tfidf_nab,2026-09-26,blocking,tfidf_nab,train fold 0 sample; pools = full train S2+S3,5000,"norm_v2; {""namespaces"": ""nab"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {}}",0.982333,,,,oracle_f05=0.993326; cands_mean=200.0; RR=0.999981; sec=17.42; peak_gb=2.97
blk_v2_5000_20260926_172953:tfidf_nabp,2026-09-26,blocking,tfidf_nabp,train fold 0 sample; pools = full train S2+S3,5000,"norm_v2; {""namespaces"": ""nabp"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {}}",0.980306,,,,oracle_f05=0.99299; cands_mean=200.0; RR=0.999981; sec=19.65; peak_gb=2.97
blk_v2_5000_20260926_172953:tfidf_nabp_p0.5,2026-09-26,blocking,tfidf_nabp_p0.5,train fold 0 sample; pools = full train S2+S3,5000,"norm_v2; {""namespaces"": ""nabp"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {""p"": 0.5}}",0.983376,,,,oracle_f05=0.993896; cands_mean=200.0; RR=0.999981; sec=20.13; peak_gb=2.97
blk_v2_5000_20260926_172953:tfidf_nabp_addr0.7,2026-09-26,blocking,tfidf_nabp_addr0.7,train fold 0 sample; pools = full train S2+S3,5000,"norm_v2; {""namespaces"": ""nabp"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {""a"": 0.7, ""b"": 0.7}}",0.970633,,,,oracle_f05=0.989828; cands_mean=200.0; RR=0.999981; sec=18.59; peak_gb=2.97
